Age,Fare,Parch,Pclass,SibSp,Survived,IsMarriedMan,IsSingleWoman,IsChild,IsElderyMs,IsBaby,IsRich,Sex_female,Sex_male,Title_Dr,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rev
50.0,26.0,1.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29.69911764705882,7.75,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3.0,31.3875,2.0,3.0,4.0,1.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
52.0,79.65,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
40.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,7.75,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
36.0,10.5,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
16.0,39.6875,1.0,3.0,4.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
25.0,7.775,0.0,3.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
58.0,153.4625,1.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35.0,135.6333,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,31.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
25.0,0.0,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
41.0,19.5,1.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
37.0,29.7,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,7.75,0.0,3.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
63.0,77.9583,0.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
45.0,7.75,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7.0,29.125,1.0,3.0,4.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
35.0,20.25,1.0,3.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
65.0,7.75,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
28.0,7.8542,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
16.0,9.5,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19.0,8.05,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,26.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
33.0,8.6625,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
30.0,9.5,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22.0,7.8958,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
42.0,13.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22.0,7.75,0.0,3.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
26.0,78.85,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19.0,91.0792,0.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
36.0,12.875,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
24.0,8.85,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
24.0,7.8958,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,27.7208,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
23.5,7.2292,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2.0,151.55,2.0,1.0,1.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,30.5,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
200.0,247.5208,1.0,1.0,0.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
29.69911764705882,7.75,0.0,3.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,23.25,0.0,3.0,2.0,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
19.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,12.35,0.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,8.05,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1.0,151.55,2.0,1.0,1.0,1.0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
29.69911764705882,110.8833,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
17.0,108.9,0.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
30.0,24.0,0.0,2.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
30.0,56.9292,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
24.0,83.1583,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
200.0,262.375,2.0,1.0,2.0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
26.0,26.0,1.0,2.0,1.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
28.0,7.8958,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
43.0,26.25,1.0,2.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
26.0,7.8542,0.0,3.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
24.0,26.0,0.0,2.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
54.0,14.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
31.0,164.8667,2.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
40.0,134.5,1.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
22.0,7.25,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
27.0,7.8958,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
30.0,12.35,0.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
22.0,29.0,1.0,2.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
29.69911764705882,69.55,2.0,3.0,8.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
36.0,135.6333,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
61.0,6.2375,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36.0,13.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
31.0,20.525,1.0,3.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
16.0,57.9792,1.0,1.0,0.0,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,23.25,0.0,3.0,2.0,1.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
45.5,28.5,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
38.0,153.4625,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
16.0,18.0,0.0,3.0,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,133.65,0.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
29.69911764705882,7.8958,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.0,66.6,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
41.0,134.5,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
45.0,8.05,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
45.0,35.5,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2.0,26.0,1.0,2.0,1.0,1.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
200.0,263.0,2.0,1.0,3.0,1.0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
28.0,13.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
25.0,13.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36.0,13.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
24.0,13.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
40.0,13.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,16.1,0.0,3.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
3.0,15.9,1.0,3.0,1.0,1.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
42.0,8.6625,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
23.0,9.225,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,35.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
15.0,7.2292,1.0,3.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
25.0,17.8,0.0,3.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,7.225,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
28.0,9.5,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22.0,55.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
38.0,13.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,7.8792,0.0,3.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,7.8792,0.0,3.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
40.0,27.9,4.0,3.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
29.0,27.7208,0.0,2.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
45.0,14.4542,1.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35.0,7.05,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,15.5,0.0,3.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
30.0,7.25,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
60.0,75.25,0.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
29.69911764705882,7.2292,0.0,3.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29.69911764705882,7.75,0.0,3.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
24.0,69.3,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
25.0,55.4417,0.0,1.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
18.0,6.4958,0.0,3.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19.0,8.05,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22.0,135.6333,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3.0,21.075,1.0,3.0,3.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,82.1708,0.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
22.0,7.25,0.0,3.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
200.0,211.5,2.0,1.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
20.0,4.0125,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19.0,7.775,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
200.0,227.525,0.0,1.0,0.0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
1.0,15.7417,2.0,3.0,0.0,1.0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
32.0,7.925,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
35.0,52.0,0.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
29.69911764705882,7.8958,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
18.0,73.5,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1.0,46.9,2.0,3.0,5.0,0.0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
36.0,13.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,7.7292,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
17.0,12.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
36.0,120.0,2.0,1.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
21.0,7.7958,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
28.0,7.925,0.0,3.0,2.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
23.0,113.275,0.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
24.0,16.7,2.0,3.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22.0,7.7958,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
31.0,7.8542,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
46.0,26.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
23.0,10.5,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
28.0,12.65,0.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39.0,7.925,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
26.0,8.05,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21.0,9.825,0.0,3.0,1.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
28.0,15.85,0.0,3.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
20.0,8.6625,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
34.0,21.0,0.0,2.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
51.0,7.75,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3.0,18.75,1.0,2.0,1.0,1.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
21.0,7.775,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,25.4667,1.0,3.0,3.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,7.8958,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,6.8583,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
33.0,90.0,0.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
44.0,7.925,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,8.05,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
34.0,32.5,1.0,2.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
18.0,13.0,2.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
30.0,13.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
10.0,24.15,2.0,3.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,7.8958,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21.0,7.7333,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.0,7.875,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
28.0,14.4,1.0,3.0,1.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
18.0,20.2125,1.0,3.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,7.25,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
28.0,26.0,0.0,2.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
19.0,26.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,7.75,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
32.0,8.05,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
28.0,26.55,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,16.1,0.0,3.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
42.0,26.0,0.0,2.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
17.0,7.125,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
50.0,55.9,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
14.0,120.0,2.0,1.0,1.0,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
21.0,34.375,2.0,3.0,2.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
24.0,18.75,3.0,2.0,2.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
200.0,263.0,4.0,1.0,1.0,0.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
31.0,10.5,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
45.0,26.25,1.0,2.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
20.0,9.5,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
25.0,7.775,0.0,3.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
28.0,13.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,8.1125,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4.0,81.8583,2.0,1.0,0.0,1.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
13.0,19.5,1.0,2.0,0.0,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
34.0,26.55,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5.0,19.2583,1.0,3.0,2.0,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
52.0,30.5,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36.0,27.75,2.0,2.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,19.9667,0.0,3.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
30.0,27.75,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
49.0,89.1042,0.0,1.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,8.05,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.0,7.8958,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
65.0,26.55,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,51.8625,0.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
50.0,10.5,0.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,7.75,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
48.0,26.55,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
34.0,8.05,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
47.0,38.5,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
48.0,13.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,8.05,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
38.0,7.05,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
56.0,26.55,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,7.725,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1.0,19.2583,1.0,3.0,2.0,1.0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
29.69911764705882,7.25,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
38.0,8.6625,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
33.0,27.75,2.0,2.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
23.0,13.7917,0.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22.0,9.8375,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,52.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
34.0,21.0,0.0,2.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
29.0,7.0458,0.0,3.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
22.0,7.5208,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2.0,12.2875,1.0,3.0,0.0,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
9.0,46.9,2.0,3.0,5.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
29.69911764705882,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
50.0,8.05,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
63.0,9.5875,0.0,3.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
25.0,91.0792,0.0,1.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,25.4667,1.0,3.0,3.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
35.0,90.0,0.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
58.0,29.7,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
30.0,8.05,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9.0,15.9,1.0,3.0,1.0,1.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
29.69911764705882,19.9667,0.0,3.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
21.0,7.25,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
55.0,30.5,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
71.0,49.5042,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
21.0,8.05,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,14.4583,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
54.0,78.2667,0.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,15.1,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
25.0,151.55,2.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
24.0,7.7958,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
17.0,8.6625,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21.0,7.75,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29.69911764705882,7.6292,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
37.0,9.5875,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
16.0,86.5,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
18.0,108.9,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
33.0,26.0,2.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29.69911764705882,26.55,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
28.0,22.525,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
26.0,56.4958,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.0,7.75,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29.69911764705882,8.05,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36.0,26.2875,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
54.0,59.4,0.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
24.0,7.4958,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
47.0,34.0208,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
34.0,10.5,0.0,2.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29.69911764705882,24.15,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36.0,26.0,0.0,2.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
32.0,7.8958,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
